0x0000;v1
0x0002;v2
0x0004;v3
0x0006;a1
0x0008;a2
0x000A;a3
0x000C;p1
0x000E;p2
0x0010;p3
0x0012;va1
0x0014;va2
0x0016;va3
0x0018;var1
0x001A;var2
0x001C;var3
0x001E;pf1
0x0020;pf2
0x0022;pf3
0x0024;ang1
0x0026;ang2
0x0028;ang3
0x002A;avg_voltage
0x002E;avg_current
0x0030;sum_current
0x0034;total_power
0x0038;total_va
0x003C;total_var
0x003E;total_pf
0x0042;total_angle
0x0046;frequency
0x0048;import_wh
0x004A;export_wh
0x004C;import_vah
0x004E;export_vah
0x0050;vah
0x0052;ah
0x0054;total_power_demand
0x0056;max_total_power_demand
0x0064;total_va_demant
0x0066;max_total_va_demand
0x0068;neutral_current_demand
0x006A;max_neutral_current_demand
0x00C8;v1v2
0x00CA;v2v3
0x00CC;v3v1
0x00CE;avg_line2line_v
0x00E0;neutral_current
0x00EA;thd1
0x00EC;thd2
0x00EE;thd3
0x00F0;currthd1
0x00F2;currthd2
0x00F4;currthd3
0x00F8;avg_ln_v_thd
0x00FA;avg_current_thd
0x00FE;total_power_factor
0x0102;a1d
0x0104;a2d
0x0106;a3d
0x0108;maxa1d
0x010A;maxa2d
0x010C;maxa3d
0x014E;thd12
0x0150;thd23
0x0152;thd31
